N,topic,malfunction,cause,elimination
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Предупреждение!
(КМ7 самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При выключенном контакторе КМ7, мотор-вентилятор холодильника (3МВ) не работает."
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КДК и КУДК
(КДК самопроизвольно отключился)",Нет напряжения +110В на катушке контактора,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КДК и КУДК
(КДК самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КДК и КУДК
(КДК самопроизвольно отключился)",Неисправность блок-контакта,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КДК и КУДК
(КДК самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КДК и КУДК
(КДК самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Прекращение запуска дизеля.
(КМН самопроизвольно отключился)",Нет напряжения +110В на катушке контактора,Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Прекращение запуска дизеля.
(КМН самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Прекращение запуска дизеля.
(КМН самопроизвольно отключился)",Неисправность блок-контакта,Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Прекращение запуска дизеля.
(КМН самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Прекращение запуска дизеля.
(КМН самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КРН
Возможно отсутствие зарядки АБ
(КРН самопроизвольно отключился)",Нет напряжения +110В на катушке контактора,"Проверить контактор и его блок-контакты.
Внимание! Отсутствует заряд аккумуляторной батареи! Не работает компрессор. Отключить лишние потребители!"
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КРН
Возможно отсутствие зарядки АБ
(КРН самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты.
Внимание! Отсутствует заряд аккумуляторной батареи! Не работает компрессор. Отключить лишние потребители!"
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КРН
Возможно отсутствие зарядки АБ
(КРН самопроизвольно отключился)",Неисправность блок-контакта,"Проверить контактор и его блок-контакты.
Внимание! Отсутствует заряд аккумуляторной батареи! Не работает компрессор. Отключить лишние потребители!"
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КРН
Возможно отсутствие зарядки АБ
(КРН самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,"Проверить контактор и его блок-контакты.
Внимание! Отсутствует заряд аккумуляторной батареи! Не работает компрессор. Отключить лишние потребители!"
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КРН
Возможно отсутствие зарядки АБ
(КРН самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты.
Внимание! Отсутствует заряд аккумуляторной батареи! Не работает компрессор. Отключить лишние потребители!"
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Предупреждение!
(КТН самопроизвольно отключился)",Нет напряжения +110В на катушке контактора,Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Предупреждение!
(КТН самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Предупреждение!
(КТН самопроизвольно отключился)",Неисправность блок-контакта,Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Предупреждение!
(КТН самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Предупреждение!
(КТН самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КДК и КУДК
(КУДК самопроизвольно отключился)",Нет напряжения +110В на катушке контактора,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КДК и КУДК
(КУДК самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КДК и КУДК
(КУДК самопроизвольно отключился)",Неисправность блок-контакта,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КДК и КУДК
(КУДК самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Отключение КДК и КУДК
(КУДК самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тормоза. Переход на замещение
(ТК самопроизвольно отключился)",Нет напряжения +110В на катушке контактора,Проверить контактор и его блок-контакты.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тормоза. Переход на замещение
(ТК самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,Проверить контактор и его блок-контакты.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тормоза. Переход на замещение
(ТК самопроизвольно отключился)",Неисправность блок-контакта,Проверить контактор и его блок-контакты.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тормоза. Переход на замещение
(ТК самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,Проверить контактор и его блок-контакты.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тормоза. Переход на замещение
(ТК самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить контактор и его блок-контакты.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Прекращение запуска дизеля.
(Д1 самопроизвольно отключился)
(Д2 самопроизвольно отключился)",Нет напряжения +110В на катушке контактора,Проверить контактор и его блок-контакты.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Прекращение запуска дизеля.
(Д1 самопроизвольно отключился)
(Д2 самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,Проверить контактор и его блок-контакты.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Прекращение запуска дизеля.
(Д1 самопроизвольно отключился)
(Д2 самопроизвольно отключился)",Неисправность блок-контакта,Проверить контактор и его блок-контакты.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Прекращение запуска дизеля.
(Д1 самопроизвольно отключился)
(Д2 самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,Проверить контактор и его блок-контакты.
104,"При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении","Прекращение запуска дизеля.
(Д1 самопроизвольно отключился)
(Д2 самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить контактор и его блок-контакты.
105,При включенном устройством обработки информации (УОИ) вентиля жалюзи сигнал от датчика открытия жалюзи в УОИ не приходит,"Предупреждение!
(Боковые жалюзи слева самопроизвольно закрылись)
(Боковые жалюзи справа(3МВ) самопроизвольно закрылись)
(Боковые жалюзи справа(4МВ) самопроизвольно закрылись)",Нет напряжения +110В на катушке вентиля,Обратить внимание. Жалюзи могут быть закрыты.
105,При включенном устройством обработки информации (УОИ) вентиля жалюзи сигнал от датчика открытия жалюзи в УОИ не приходит,"Предупреждение!
(Боковые жалюзи слева самопроизвольно закрылись)
(Боковые жалюзи справа(3МВ) самопроизвольно закрылись)
(Боковые жалюзи справа(4МВ) самопроизвольно закрылись)",Неисправность платы БСК (ПВСК) УОИ,Обратить внимание. Жалюзи могут быть закрыты.
105,При включенном устройством обработки информации (УОИ) вентиля жалюзи сигнал от датчика открытия жалюзи в УОИ не приходит,"Предупреждение!
(Боковые жалюзи слева самопроизвольно закрылись)
(Боковые жалюзи справа(3МВ) самопроизвольно закрылись)
(Боковые жалюзи справа(4МВ) самопроизвольно закрылись)",Отсутствует воздух в пневматической системе,Обратить внимание. Жалюзи могут быть закрыты.
105,При включенном устройством обработки информации (УОИ) вентиля жалюзи сигнал от датчика открытия жалюзи в УОИ не приходит,"Предупреждение!
(Боковые жалюзи слева самопроизвольно закрылись)
(Боковые жалюзи справа(3МВ) самопроизвольно закрылись)
(Боковые жалюзи справа(4МВ) самопроизвольно закрылись)",Неисправность датчика открытия жалюзи,Обратить внимание. Жалюзи могут быть закрыты.
105,При включенном устройством обработки информации (УОИ) вентиля жалюзи сигнал от датчика открытия жалюзи в УОИ не приходит,"Предупреждение!
(Боковые жалюзи слева самопроизвольно закрылись)
(Боковые жалюзи справа(3МВ) самопроизвольно закрылись)
(Боковые жалюзи справа(4МВ) самопроизвольно закрылись)",Отсутствие +110В в проводе от датчика к УОИ,Обратить внимание. Жалюзи могут быть закрыты.
105,При включенном устройством обработки информации (УОИ) вентиля жалюзи сигнал от датчика открытия жалюзи в УОИ не приходит,"Предупреждение!
(Боковые жалюзи слева самопроизвольно закрылись)
(Боковые жалюзи справа(3МВ) самопроизвольно закрылись)
(Боковые жалюзи справа(4МВ) самопроизвольно закрылись)",Неисправность платы БОДД (ПВДД) УОИ,Обратить внимание. Жалюзи могут быть закрыты.
106,При включенном устройством обработки информации (УОИ) переключателя КШ в УОИ приходит сигнал обратной связи о его отключении,"Предупреждение!
(КШ1 самопроизвольно отключился)
(КШ2 самопроизвольно отключился)",Нет напряжения +110В на катушке переключателя,Обратить внимание. Проверить переключатель и его блок-контакты.
106,При включенном устройством обработки информации (УОИ) переключателя КШ в УОИ приходит сигнал обратной связи о его отключении,"Предупреждение!
(КШ1 самопроизвольно отключился)
(КШ2 самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,Обратить внимание. Проверить переключатель и его блок-контакты.
106,При включенном устройством обработки информации (УОИ) переключателя КШ в УОИ приходит сигнал обратной связи о его отключении,"Предупреждение!
(КШ1 самопроизвольно отключился)
(КШ2 самопроизвольно отключился)",Неисправна пневматический привод переключателя,Обратить внимание. Проверить переключатель и его блок-контакты.
106,При включенном устройством обработки информации (УОИ) переключателя КШ в УОИ приходит сигнал обратной связи о его отключении,"Предупреждение!
(КШ1 самопроизвольно отключился)
(КШ2 самопроизвольно отключился)",Неисправность блок-контакта,Обратить внимание. Проверить переключатель и его блок-контакты.
106,При включенном устройством обработки информации (УОИ) переключателя КШ в УОИ приходит сигнал обратной связи о его отключении,"Предупреждение!
(КШ1 самопроизвольно отключился)
(КШ2 самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,Обратить внимание. Проверить переключатель и его блок-контакты.
106,При включенном устройством обработки информации (УОИ) переключателя КШ в УОИ приходит сигнал обратной связи о его отключении,"Предупреждение!
(КШ1 самопроизвольно отключился)
(КШ2 самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,Обратить внимание. Проверить переключатель и его блок-контакты.
107,При включенном устройством обработки информации (УОИ) переключателя П1...П6 в УОИ приходит сигнал обратной связи о его отключении,"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) самопроизвольно отключился)",Нет напряжения +110В на катушке переключателя,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
107,При включенном устройством обработки информации (УОИ) переключателя П1...П6 в УОИ приходит сигнал обратной связи о его отключении,"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
107,При включенном устройством обработки информации (УОИ) переключателя П1...П6 в УОИ приходит сигнал обратной связи о его отключении,"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) самопроизвольно отключился)",Неисправна пневматический привод переключателя,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
107,При включенном устройством обработки информации (УОИ) переключателя П1...П6 в УОИ приходит сигнал обратной связи о его отключении,"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) самопроизвольно отключился)",Неисправность блок-контакта,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
107,При включенном устройством обработки информации (УОИ) переключателя П1...П6 в УОИ приходит сигнал обратной связи о его отключении,"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
107,При включенном устройством обработки информации (УОИ) переключателя П1...П6 в УОИ приходит сигнал обратной связи о его отключении,"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
108,"При включенном устройством обработки информации (УОИ) переключателя Р, ТП в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) самопроизвольно отключился)
(Реверсор (Р) (назад) самопроизвольно отключился)",Нет напряжения +110В на катушке переключателя,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
108,"При включенном устройством обработки информации (УОИ) переключателя Р, ТП в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) самопроизвольно отключился)
(Реверсор (Р) (назад) самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
108,"При включенном устройством обработки информации (УОИ) переключателя Р, ТП в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) самопроизвольно отключился)
(Реверсор (Р) (назад) самопроизвольно отключился)",Неисправна пневматический привод переключателя,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
108,"При включенном устройством обработки информации (УОИ) переключателя Р, ТП в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) самопроизвольно отключился)
(Реверсор (Р) (назад) самопроизвольно отключился)",Неисправность блок-контакта,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
108,"При включенном устройством обработки информации (УОИ) переключателя Р, ТП в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) самопроизвольно отключился)
(Реверсор (Р) (назад) самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
108,"При включенном устройством обработки информации (УОИ) переключателя Р, ТП в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) самопроизвольно отключился)
(Реверсор (Р) (назад) самопроизвольно отключился)",Неисправность платы БОДД (ПВДД) УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
108,"При включенном устройством обработки информации (УОИ) переключателя Р, ТП в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тормоза
(ТП (тормоз) самопроизвольно отключился)",Нет напряжения +110В на катушке переключателя,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
108,"При включенном устройством обработки информации (УОИ) переключателя Р, ТП в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тормоза
(ТП (тормоз) самопроизвольно отключился)",Неисправность платы БСК (ПВСК) УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
108,"При включенном устройством обработки информации (УОИ) переключателя Р, ТП в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тормоза
(ТП (тормоз) самопроизвольно отключился)",Неисправна пневматический привод переключателя,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
108,"При включенном устройством обработки информации (УОИ) переключателя Р, ТП в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тормоза
(ТП (тормоз) самопроизвольно отключился)",Неисправность блок-контакта,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
108,"При включенном устройством обработки информации (УОИ) переключателя Р, ТП в УОИ приходит сигнал обратной связи о его отключении","Запрет сборки схемы тормоза
(ТП (тормоз) самопроизвольно отключился)",Отсутствие +110В в проводе от блок-контакта к УОИ,Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
